Domain,Status,Registrar,Expiry Date,Auto-renew,Redirect to,Notes
<<t>>.com,<<Owned/Available/Taken>>,,,,,
<<t>>.vn,<<Owned/Available/Taken>>,,,,,
<<t>>.com.vn,<<Owned/Available/Taken>>,,,,,
<<t>>.io,<<Owned/Available/Taken>>,,,,,
<<t>>.ai,<<Owned/Available/Taken>>,,,,,
<<t>>.app,<<Owned/Available/Taken>>,,,,,
<<t>>.dev,<<Owned/Available/Taken>>,,,,,
<<t>>.co,<<Owned/Available/Taken>>,,,,,
<<t>>.net,<<Owned/Available/Taken>>,,,,,
<<t>>.org,<<Owned/Available/Taken>>,,,,,
<<t>>.tech,<<Owned/Available/Taken>>,,,,,
<<t>>-vn.com,<<Owned/Available/Taken>>,,,,,
<<t>>hq.com,<<Owned/Available/Taken>>,,,,,
get<<t>>.com,<<Owned/Available/Taken>>,,,,,
my<<t>>.com,<<Owned/Available/Taken>>,,,,,
<<t>>app.com,<<Owned/Available/Taken>>,,,,,
